@relation Public_Health
@attribute Birth_Rate REAL
@attribute General_Fertility_Rate REAL
@attribute Teen_Birth_Rate REAL
@attribute Assault REAL
@attribute Firearm_related REAL
@attribute Infant_Mortality_Rate REAL
@attribute Below_Poverty_Level REAL
@attribute Crowded_Housing REAL
@attribute Dependency REAL
@attribute No_High_School_Diploma REAL
@attribute Per_Capita_Income REAL
@attribute Unemployment REAL
@attribute neighborhood {[2_77],[1_4_13_77],[4_6_77],[3_5_14_77],[4_6_7_16_21],[3_5_7],[5_6_8_22_24],[7_24_28_32],[10],[9_11_12_76],[10_12_15],[11_13_14_15],[2_4_12_14],[4_12_13_16],[11_12_16_17_19],[5_14_15_20_21],[15_18_19_76],[17_19_25],[15_17_18_20_25],[16_19_21_22_23],[5_16_20_22],[7_20_21_23_24],[20_22_24_25_26_27],[7_8_22_23_28],[18_19_23_26],[23_25_27_29],[23_26_28_29],[8_24_27_29_31_32_33],[26_27_28_30],[29_31_56_57_58],[28_30_34_59_60],[8_28_33],[28_32_34_35],[31_33_35_37_60],[33_34_36_38],[35_38_39],[34_38_40_61_68],[35_36_37_39_40],[36_38_41],[37_38_41_42_68_69],[39_40_42],[40_41_43_69],[42_45_46_69],[45_47_49_69_71],[43_44_48_46_69],[43_45_48_52],[44_48_50],[45_46_47_51],[44_50_53_71_73_75],[47_49_51_54],[48_50_52_54_55],[46_51_55],[49_54_75],[50_51_53_55],[51_52_54],[30_57_62_64],[30_56_58_62],[30_57_59_61_63],[31_58_60_61],[31_34_59_61],[37_58_59_60_63_67_68],[56_57_63_65],[58_62_61_66_67],[56_65],[62_64_66_70],[63_65_67_70],[61_63_66_68_71],[37_40_61_67_69_71],[40_42_43_44_45_68_71],[65_66_71_72],[44_67_68_69_70_72_73],[70_71_73_74_75],[49_71_72_75],[72_75],[49_53_72_73_74],[10_17],[1_2_3_4]}
@data
0.538461538,0.510416667,0.341695502,0.109530583,0.060606061,0.232227488,0.33619211,0.442528736,0.383285303,0.272401434,0.193048278,0.092178771,[2_77]
0.607692308,0.827380952,0.247404844,0.082503556,0.038961039,0.170616114,0.205831904,0.390804598,0.657060519,0.299283154,0.163300605,0.103351955,[1_4_13_77]
0.284615385,0.339285714,0.292387543,0.076813656,0.051948052,0.236966825,0.33619211,0.252873563,0.193083573,0.191756272,0.302945516,0.097765363,[4_6_77]
0.592307692,0.495535714,0.320934256,0.071123755,0.073593074,0.109004739,0.109777015,0.166666667,0.291066282,0.172043011,0.342982144,0.072625698,[3_5_14_77]
1,0.72172619,0.061418685,0.014224751,0,0.056872038,0.068610635,0,0.288184438,0.044802867,0.547896424,0.008379888,[4_6_7_16_21]
0.315384615,0.163690476,0.125432526,0.019914651,0.011544012,0.033175355,0.126929674,0.057471264,0.028818444,0,0.631988605,0.01396648,[3_5_7]
0.292307692,0.163690476,0.006920415,0.009957326,0.018759019,0.042654028,0.14922813,0.022988506,0.141210375,0.025089606,0.799562497,0.008379888,[5_6_8_22_24]
0.1,0.12202381,0.282871972,0.052631579,0.031746032,0.236966825,0.176672384,0.103448276,0.224783862,0.008960573,1,0.027932961,[7_24_28_32]
0.146153846,0.473214286,0.022491349,0,0.088023088,0.146919431,0.034305317,0.022988506,0.608069164,0.100358423,0.379025284,0.089385475,[10]
0.076923077,0.474702381,0.01816609,0.06685633,0.111111111,0.137440758,0.048027444,0.120689655,0.723342939,0.189964158,0.294093707,0.086592179,[9_11_12_76]
0.338461538,0.59672619,0.23615917,0.068278805,0.046176046,0.322274882,0.056603774,0.097701149,0.544668588,0.189964158,0.238401078,0.134078212,[10_12_15]
0.046153846,0.489583333,0.043252595,0.046941679,0.075036075,0.109004739,0.051457976,0.063218391,0.723342939,0.0609319,0.419367147,0.036312849,[11_13_14_15]
0.115384615,0.394345238,0.079584775,0.042674253,0.03030303,0.184834123,0.159519726,0.206896552,0.69740634,0.274193548,0.208653406,0.092178771,[2_4_12_14]
0.684615385,0.726190476,0.373702422,0.06685633,0.062049062,0.161137441,0.240137221,0.632183908,0.478386167,0.573476703,0.150328127,0.134078212,[4_12_13_16]
0.369230769,0.571428571,0.349480969,0.046941679,0.053391053,0.151658768,0.15780446,0.24137931,0.550432277,0.283154122,0.191814621,0.17877095,[11_12_16_17_19]
0.492307692,0.586309524,0.308823529,0.058321479,0.067821068,0.180094787,0.132075472,0.310344828,0.463976945,0.342293907,0.231189907,0.170391061,[5_14_15_20_21]
0.238461538,0.550595238,0.160899654,0.052631579,0.060606061,0.161137441,0.089193825,0.264367816,0.55907781,0.270609319,0.226535077,0.122905028,[15_18_19_76]
0.592307692,0.830357143,0.520761246,0.122332859,0.079365079,0.146919431,0.166380789,0.32183908,0.561959654,0.456989247,0.161799868,0.184357542,[17_19_25]
0.815384615,0.90625,0.578719723,0.099573257,0.064935065,0.194312796,0.265866209,0.563218391,0.616714697,0.611111111,0.085351274,0.203910615,[15_17_18_20_25]
0.838461538,0.87797619,0.591695502,0.180654339,0.155844156,0.369668246,0.274442539,0.471264368,0.599423631,0.698924731,0.087449763,0.24301676,[16_19_21_22_23]
0.7,0.744047619,0.537197232,0.06685633,0.051948052,0.199052133,0.197255575,0.32183908,0.429394813,0.408602151,0.152032355,0.142458101,[5_16_20_22]
0.676923077,0.532738095,0.560553633,0.122332859,0.132756133,0.132701422,0.241852487,0.172413793,0.322766571,0.279569892,0.260606908,0.092178771,[7_20_21_23_24]
0.753846154,0.788690476,0.662629758,0.412517781,0.313131313,0.393364929,0.506003431,0.632183908,0.657060519,0.607526882,0.06175917,0.226256983,[20_22_24_25_26_27]
0.723076923,0.486607143,0.414359862,0.120910384,0.080808081,0.170616114,0.216123499,0.103448276,0.213256484,0.188172043,0.395037391,0.05027933,[7_8_22_23_28]
0.661538462,0.779761905,0.696366782,0.489331437,0.396825397,0.559241706,0.409948542,0.316091954,0.677233429,0.396057348,0.093923284,0.469273743,[18_19_23_26]
0.823076923,0.90327381,0.982698962,0.568990043,0.505050505,0.829383886,0.638078902,0.5,0.778097983,0.417562724,0.030726967,0.586592179,[23_25_27_29]
0.769230769,0.790178571,0.794982699,0.546230441,0.520923521,0.450236967,0.627787307,0.41954023,0.798270893,0.417562724,0.064366383,0.340782123,[23_26_28_29]
0.676923077,0.415178571,0.306228374,0.180654339,0.11976912,0.360189573,0.317324185,0.206896552,0.213256484,0.14874552,0.419100066,0.181564246,[8_24_27_29_31_32_33]
0.861538462,0.87202381,0.930795848,0.664295875,0.528138528,0.597156398,0.608919383,0.402298851,0.731988473,0.492831541,0.051037798,0.399441341,[26_27_28_30]
0.776923077,1,0.65916955,0.157894737,0.10966811,0.208530806,0.428816467,1,0.507204611,1,0.027496566,0.203910615,[29_31_56_57_58]
0.546153846,0.602678571,0.412629758,0.166429587,0.154401154,0.184834123,0.413379074,0.586206897,0.567723343,0.741935484,0.088161978,0.245810056,[28_30_34_59_60]
0,0,0,0.009957326,0.043290043,0.199052133,0.137221269,0.103448276,0,0.008960573,0.752454596,0,[8_28_33]
0.923076923,0.672619048,0.429065744,0.068278805,0.080808081,0.156398104,0.137221269,0.068965517,0.158501441,0.075268817,0.662079666,0.041899441,[28_32_34_35]
0.161538462,0.4375,0.128892734,0.025604552,0.011544012,0,0.560891938,0.327586207,0.645533141,0.620071685,0.106921199,0.206703911,[31_33_35_37_60]
0.069230769,0.21577381,0.284602076,0.193456615,0.116883117,0.563981043,0.394511149,0.08045977,0.446685879,0.250896057,0.185213919,0.349162011,[33_34_36_38]
0.623076923,0.538690476,0.460207612,0.268847795,0.167388167,0.317535545,0.600343053,0.189655172,0.720461095,0.26344086,0.137063133,0.625698324,[35_38_39]
0.192307692,0.486607143,0.587370242,0.705547653,0.311688312,1,0.898799314,0.247126437,0.654178674,0.551971326,0.006117414,1,[34_38_40_61_68]
0.376923077,0.453869048,0.462802768,0.456614509,0.357864358,0.502369668,0.432246998,0.143678161,0.755043228,0.295698925,0.171961642,0.458100559,[35_36_37_39_40]
0.215384615,0.348214286,0.211072664,0.216216216,0.236652237,0.3507109,0.343053173,0.120689655,0.538904899,0.141577061,0.368621865,0.189944134,[36_38_41]
0.761538462,0.660714286,0.703287197,0.634423898,0.555555556,0.843601896,0.617495712,0.270114943,0.731988473,0.455197133,0.057892863,0.530726257,[37_38_41_42_68_69]
0.023076923,0.092261905,0.05449827,0.082503556,0.057720058,0.421800948,0.259005146,0.132183908,0.322766571,0.043010753,0.390547896,0.075418994,[39_40_42]
0.438461538,0.482142857,0.430795848,0.442389758,0.346320346,0.473933649,0.432246998,0.091954023,0.636887608,0.268817204,0.132179376,0.365921788,[40_41_43_69]
0.484615385,0.598214286,0.558823529,0.475106686,0.418470418,0.469194313,0.487135506,0.155172414,0.636887608,0.215053763,0.125031795,0.377094972,[42_45_46_69]
0.384615385,0.648809524,0.578719723,0.642958748,0.532467532,0.44549763,0.380789022,0.114942529,0.706051873,0.193548387,0.149882993,0.413407821,[45_47_49_69_71]
0.3,0.623511905,0.541522491,0.314366999,0.252525253,0.469194313,0.233276158,0.022988506,0.760806916,0.186379928,0.190263011,0.346368715,[43_44_48_46_69]
0.669230769,0.811011905,0.653114187,0.524893314,0.471861472,0.767772512,0.427101201,0.327586207,0.795389049,0.453405018,0.087220837,0.377094972,[43_45_48_52]
0.269230769,0.540178571,0.583044983,1,1,0.545023697,0.332761578,0.304597701,0.717579251,0.281362007,0.066401282,0.536312849,[44_48_50]
0.046153846,0.441964286,0.328719723,0.277382646,0.339105339,0.587677725,0.152658662,0.091954023,0.772334294,0.14874552,0.259983721,0.363128492,[45_46_47_51]
0.376923077,0.611607143,0.678200692,0.581792319,0.52958153,0.383886256,0.281303602,0.166666667,0.731988473,0.259856631,0.120046294,0.379888268,[44_50_53_71_73_75]
0.376923077,0.577380952,0.576124567,0.458036984,0.448773449,0.573459716,0.291595197,0.068965517,0.763688761,0.227598566,0.133184107,0.469273743,[47_49_51_54]
0.492307692,0.729166667,0.553633218,0.587482219,0.492063492,0.488151659,0.367066895,0.333333333,0.746397695,0.340501792,0.088657984,0.212290503,[48_50_52_54_55]
0.638461538,0.864583333,0.447231834,0.152204836,0.131313131,0.104265403,0.267581475,0.465517241,0.778097983,0.584229391,0.086635804,0.287709497,[46_51_55]
0.453846154,0.647321429,0.575259516,0.624466572,0.656565657,0.492890995,0.363636364,0.17816092,0.76945245,0.353046595,0.097840464,0.357541899,[49_54_75]
0.238461538,0.273809524,0.546712803,0.469416785,0.458874459,0.341232227,1,0.281609195,1,0.388888889,0,0.620111732,[50_51_53_55]
0.330769231,0.677083333,0.396193772,0.098150782,0.178932179,0.327014218,0.154373928,0.24137931,0.752161383,0.268817204,0.178384291,0.150837989,[51_52_54]
0.307692308,0.614583333,0.280276817,0.140825036,0.118326118,0.142180095,0.101200686,0.137931034,0.691642651,0.295698925,0.20538485,0.108938547,[30_57_62_64]
0.669230769,0.77827381,0.423875433,0.236130868,0.207792208,0.17535545,0.169811321,0.477011494,0.720461095,0.600358423,0.09678486,0.279329609,[30_56_58_62]
0.861538462,0.936011905,0.491349481,0.157894737,0.138528139,0.208530806,0.341337907,0.747126437,0.700288184,0.811827957,0.058541486,0.195530726,[30_57_59_61_63]
0.561538462,0.6875,0.403114187,0.07254623,0.079365079,0.274881517,0.222984563,0.385057471,0.524495677,0.517921147,0.114997202,0.215083799,[31_58_60_61]
0.176923077,0.357142857,0.234429066,0.06970128,0.050505051,0.308056872,0.243567753,0.264367816,0.484149856,0.406810036,0.209009513,0.195530726,[31_34_59_61]
0.923076923,0.977678571,0.80449827,0.378378378,0.340548341,0.303317536,0.471698113,0.689655172,0.763688761,0.707885305,0.050732563,0.368715084,[37_58_59_60_63_67_68]
0.876923077,0.961309524,0.382352941,0.083926031,0.096681097,0.312796209,0.114922813,0.488505747,0.668587896,0.657706093,0.106870326,0.259776536,[56_57_63_65]
0.953846154,0.974702381,0.519896194,0.153627312,0.145743146,0.184834123,0.303602058,0.988505747,0.717579251,0.917562724,0.044246324,0.273743017,[58_62_61_66_67]
0.4,0.604166667,0.323529412,0.13371266,0.168831169,0.246445498,0.048027444,0.183908046,0.602305476,0.279569892,0.19566821,0.150837989,[56_65]
0.723076923,0.827380952,0.374567474,0.152204836,0.112554113,0.327014218,0.209262436,0.379310345,0.760806916,0.546594982,0.093643486,0.100558659,[62_64_66_70]
0.823076923,0.857142857,0.571799308,0.318634424,0.265512266,0.454976303,0.32761578,0.362068966,0.706051873,0.514336918,0.074655339,0.215083799,[63_65_67_70]
